price-calculator	Price Calculator	SaaS	pricing	hero	true		
yacht-club-hero	Yacht Club	Landing Page	hero	hero	false		
social-media-posts-hero	Social Media Posts	Social Media	social-media	hero	false		
ecommerce-website-landing	E-commerce Website	Landing Page	hero	landing	false		
digital-epoch-hero	Digital Epoch	Hero Section	hero	hero	true		
ecovolta-hero	EcoVolta	Hero Section	hero	hero	false		
kresna-footer	Kresna Footer	Footer Section	footer	hero	true		
orbit-engineers	Orbit Engineers	Agency	hero	landing	false		
vize-footer	Vize Footer	Footer Section	footer	hero	true		
pro-ai-deck	Pro AI Deck	Presentation	hero	hero	false		
haul-footer	HAUL!	Footer Section	footer	hero	true		
terra-hero	Terra Geo Map	SaaS	hero	hero	false		
veloce-finance-landing	Veloce Finance	Landing Page	hero	hero	false		
clubx-hero	ClubX Investors	Landing Page	hero	hero	false		
railroad-ai-hero	Railroad.ai	Hero Section	hero	hero	false		
6	Bold Portfolio Hero	Portfolio	hero	hero	false		
slate-hero	Slate	SaaS	hero	hero	false		
ecovolta-v2-hero	EcoVolta V2	Hero Section	hero	hero	false		
evr-ventures-hero	EVR Ventures	Hero Section	hero	hero	false		
3d-collectible-hero	3D Collectible Hero	3D Website	3D Website	hero	true		https://stream.mux.com/2Zin2zj1X02i00e6wveowiKS8muvd9M6y9wGm00WGmGHgI.m3u8
404	Nexto 404	404	hero	hero	true	https://res.cloudinary.com/dsdhxhhqh/image/upload/v1778835031/CleanShot_2026-05-15_at_15.46.24_2x_i163nd.png	
aerocore	AeroCore	Landing Page	hero	hero	false		https://stream.mux.com/BWVrAZECjeOyzvcElLeNaNOC3Bh9LpLC2jPJ6uAdIDU.m3u8
agency-services	Agency Services	Services	features	hero	false		https://stream.mux.com/5D1X6OFP9m8JcEiRIlgbBaBUrlFG98lgzE9if99g9tg.m3u8
ai-automation	AI Automation	Landing Page	hero	landing	false		https://stream.mux.com/WO8Bh4IrPBTc6pxtuapGMmmV602yC7dlQzpIe5Pm1bbg.m3u8
ai-image-generator-ui	AI Image Generator UI	AI	hero	hero	true	https://res.cloudinary.com/dsdhxhhqh/image/upload/v1778221760/CleanShot_2026-05-08_at_13.28.55_2x_swwnfd.png	
ai-workflow	AI Workflow Hero	Hero	hero	hero	true		https://stream.mux.com/kQpiNEp6XDOf01rdRLjurjdEp2Crp1CbbGUMEfFBPbIg.m3u8
animated-cards	Animated Cards	Component	carousel	hero	true		https://stream.mux.com/3uiFBPtiCC3NjgVmU2aF3qsANBSKjP9t32m99NxiZR4.m3u8
apex-program-accordion	Apex Program Accordion	Accordion	faq	hero	false		https://stream.mux.com/it9ofSYkTd02WOaeqGcfUnX8rM2iu1hiiJnAHGwM00IKg.m3u8https://stream.mux.com/l4j5umKb3D7jEMjS02Vyd006WATOw8Hu02WUB10195Cpd7A.m3u8
arceage-contact-us	Arceage Contact Us	Form	form	hero	false		https://stream.mux.com/Tw3fgqKGGyIaZXb4DF4dZGuNo007efeRMepaDjkd7HpM.m3u8
arceage-services	Arceage Services	Services	features	hero	false		https://stream.mux.com/oVVxj9JXkp54Y7HcbZ2A5UDSD38iH15fkLV02FKyqB38.m3u8
arceage-stats	Arceage Stats	Stats	stats	hero	true		https://stream.mux.com/zMC9jK00WHTuGRBcvnqTjT4Ic5y021bOtZybNW4ORX00MY.m3u8
arceage-testimonial	Arceage Testimonial	Testimonials	testimonials	hero	false		https://stream.mux.com/PHDFVXZBtSFWVqfrsKvKpatUj9yUseRws02tI0143G7zU.m3u8
auramail	AuraMail	SaaS	hero	hero	false		https://stream.mux.com/x6NX00yz102ud41WW25FWXfYS901jgb2RYWr7tM1IuoPtA.m3u8
aurora-onboard	Aurora Onboard	Signup	hero	hero	true	https://res.cloudinary.com/dsdhxhhqh/image/upload/v1778143525/CleanShot_2026-05-07_at_15.40.21_2x_kfgapx.png	
axion-about	Axion About	About	about	hero	true		https://stream.mux.com/q02exmtWPHSgKTMFhl01pmW3jMYwMaB02q0247BKe27D6aI.m3u8
beauty-categories	Beauty Categories	Categories	features	hero	true		https://stream.mux.com/XnnWeikW01VKsllWkcYdPin01006apDKp6vPJIYSIVBaVA.m3u8
beauty-products	Beauty Products	Products	carousel	hero	false		https://stream.mux.com/bBNmPG02uhZ6B02AX4oDfbriqWC8mK282A00krHhub8vNM.m3u8
bento-grid-stats	Bento Grid Stats	Bento	features	hero	false		https://stream.mux.com/xGvDZxzLVit4lRXWuLfZS01CIdMLjeD4QJ5nb3nooTYY.m3u8
bio-digital	Bio-Digital	Hero	hero	hero	false		https://stream.mux.com/wyA1PUwZhcun2X1VScU1EecG5tbQfVPJW3a9YUSKUv4.m3u8
blog-showcase	Blog Showcase	Blog	Blog	hero	true		https://stream.mux.com/tmh8pemc00LzWJuVgyll9RahISoCELfuCC4W4Gp8yBJs.m3u8
book-hero	Book Hero	Hero	hero	hero	false		https://stream.mux.com/y02SDCqb8MF01eRScUoroDtPFAtqYFeEpeexz01F7ywRco.m3u8
bookedup	BookedUp	SaaS	hero	hero	false		https://stream.mux.com/QqTn02ULD302HbJBd376HJJB3v8jsRSzDBA8fW0174slV8.m3u8
botanical-shadow-about	Botanical Shadow About	About	about	hero	false		https://stream.mux.com/Mkxpw3It0201x7xY6iuhx7o7Yz2f028rYlbDOnxa0202kQcM.m3u8
build-with-us	Build With Us	Contact us	hero	hero	true		https://stream.mux.com/aXWzAQSt5LYGkvn02f01XVj6ItN001ZUXtecVKocRFl9UQ.m3u8
cinematic-brand	Cinematic Brand	Hero	hero	hero	false		https://stream.mux.com/Cof4v02cIwHUsB39bW4QTmhTzjnaZ4xXzWMvhAX01yqQs.m3u8
cinematic-landing-page	Cinematic Landing Page	Landing Page	hero	hero	false		https://stream.mux.com/ehPIuMBxzv1o1npbn92tO6tndB01L3uFuFD01q6f5PfiY.m3u8
cognitra-feature	Cognitra Feature	Feature	features	hero	true		https://stream.mux.com/igmM9BPtlqovfCVSuPd4H016J6KsAos8TfxEe00pm01AQ00.m3u8
cognitra-offer	Cognitra Offer	Cards	features	hero	false		https://stream.mux.com/LRD00B802XFr2zVnqtIX008l02AnczmnijI0101GFDdMXD01lA.m3u8
contact-cybernetic	Contact Cybernetic	Hero	hero	hero	true		https://stream.mux.com/WoTXE100He200RuJHSqNhb90002z5CmjWH9CCc5xHeRgUDM.m3u8
creative-agency	Creative Agency	Landing Page	hero	landing	false		https://stream.mux.com/vucXKwqYHCQhM5LktSnfRMFHkkp25Ix1Pq69A01TpL6Q.m3u8
creative-studio	Creative Studio	Agency	hero	hero	true		https://stream.mux.com/gzcKZeWPVE0100AbmzB2CIun2zAyPweshVRfONxYCkhpU.m3u8
